time_iso8601,forks_cumulative
2024-07-10 00:00:00+00:00,1
2024-07-11 00:00:00+00:00,2
2024-07-19 00:00:00+00:00,4
2024-07-22 00:00:00+00:00,5
2024-07-26 00:00:00+00:00,6
2024-08-01 00:00:00+00:00,7
2024-08-05 00:00:00+00:00,8
2024-08-09 00:00:00+00:00,9
2024-08-16 00:00:00+00:00,10
2024-08-19 00:00:00+00:00,11
2024-08-22 00:00:00+00:00,13
2024-09-13 00:00:00+00:00,14
2024-09-21 00:00:00+00:00,15
2024-09-23 00:00:00+00:00,16
2024-09-27 00:00:00+00:00,18
2024-10-08 00:00:00+00:00,19
2024-10-09 00:00:00+00:00,20
2024-10-17 00:00:00+00:00,21
2024-10-20 00:00:00+00:00,22
2024-10-22 00:00:00+00:00,23
2024-10-26 00:00:00+00:00,24
2024-10-27 00:00:00+00:00,25
2024-10-31 00:00:00+00:00,26
2024-11-04 00:00:00+00:00,28
2024-11-06 00:00:00+00:00,29
2024-11-18 00:00:00+00:00,30
2024-11-20 00:00:00+00:00,31
2024-11-25 00:00:00+00:00,32
2024-12-06 00:00:00+00:00,33
2024-12-08 00:00:00+00:00,34
2024-12-11 00:00:00+00:00,35
2024-12-12 00:00:00+00:00,36
2024-12-24 00:00:00+00:00,37
2025-03-03 00:00:00+00:00,38
2025-03-15 00:00:00+00:00,39
2025-04-11 00:00:00+00:00,40
2025-04-30 00:00:00+00:00,41
2025-05-01 00:00:00+00:00,42
