time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-07 00:00:00+00:00,5,4,78,28
2026-04-08 00:00:00+00:00,9,6,69,17
2026-04-09 00:00:00+00:00,9,8,54,23
2026-04-10 00:00:00+00:00,16,11,52,24
2026-04-11 00:00:00+00:00,57,12,27,18
2026-04-12 00:00:00+00:00,3,3,49,14
2026-04-13 00:00:00+00:00,10,6,31,24
2026-04-14 00:00:00+00:00,267,6,31,16
2026-04-15 00:00:00+00:00,7,5,24,16
2026-04-16 00:00:00+00:00,150,9,25,19
2026-04-17 00:00:00+00:00,3,3,18,10
2026-04-18 00:00:00+00:00,9,8,26,18
2026-04-19 00:00:00+00:00,13,12,30,12
2026-04-20 00:00:00+00:00,26,24,34,22
